individual	chr16:28983290:28983786:cluster7347	chr16:28983290:28984609:cluster7347	chr16:28983957:28984205:cluster7347	chr16:28983957:28984609:cluster7347
GTEX-1B8L1	40	0	25	0
GTEX-14JG1	67	0	41	0
GTEX-ZA64	91	0	49	0
GTEX-Y8LW	70	1	42	0
GTEX-13OVG	167	0	86	1
GTEX-12ZZX	70	0	37	0
GTEX-WHSE	55	0	31	1
GTEX-OIZF	77	1	45	1
GTEX-14XAO	284	1	169	2
GTEX-ZZPU	66	0	42	1
GTEX-14E6E	66	0	40	1
GTEX-15DZA	94	0	61	1
GTEX-17EVP	51	0	30	0
GTEX-13CF3	39	0	23	0
GTEX-12WSF	71	0	43	0
GTEX-1R9JW	118	0	63	1
GTEX-15DCD	90	1	53	0
GTEX-16NPV	79	0	50	0
GTEX-QESD	29	0	20	0
GTEX-11O72	61	1	31	0
GTEX-Q734	66	0	40	0
GTEX-1A8G7	50	0	30	0
GTEX-1GF9V	62	1	37	0
GTEX-1RAZQ	79	1	53	0
GTEX-WFG8	52	0	29	0
GTEX-1477Z	75	0	47	0
GTEX-Y5V6	97	0	57	0
GTEX-111CU	103	0	58	1
GTEX-ZF29	64	1	44	0
GTEX-17F97	81	1	49	0
GTEX-ZVE2	59	1	29	0
GTEX-13O3P	23	0	16	0
GTEX-11GS4	49	0	25	0
GTEX-1QP67	104	0	58	0
GTEX-1QP28	54	0	33	0
GTEX-XV7Q	70	0	44	0
